scooter_id,service_area,scooter_model,total_trips_24h,battery_health_score,reported_issue_count_24h,taken_out_of_service
SC00604,residential,QX2080,4,76.7,0,0
SC00605,residential,QX3000,7,85.7,3,0
SC00606,downtown,QX2080,11,75,2,0
SC00607,university,QX3000,9,89.8,0,0
SC00608,city center,QX1010,2,89.2,0,0
SC00609,city center,QX2080,4,85.1,2,0
SC00610,waterfront,QX1010,1,87.7,1,0
SC00611,university,QX2080,7,74.9,2,0
SC00612,waterfront,QX2080,5,77.9,0,0
SC00613,city center,QX3000,6,85.3,2,0
SC00614,university,QX3000,9,79.3,1,0
SC00615,city center,QX1010,na,92.2,3,0
SC00616,downtown,QX2080,18,70.9,0,0
SC00617,downtown,QX2080,5,83.7,1,0
SC00618,university,QX1010,8,67.7,1,0
SC00619,downtown,QX1010,6,89.2,1,0
SC00620,waterfront,QX1010,3,,3,0
SC00621,downtown,QX2080,10,67.6,1,0
SC00622,downtown,QX2080,4,95.3,0,0
SC00623,residential,QX3000,5,89.9,0,0
SC00624,downtown,QX2080,na,80,0,1
SC00625,waterfront,QX3000,5,87.9,2,0
SC00626,residential,QX1010,3,82.8,0,1
SC00627,downtown,QX2080,8,75.7,3,0
SC00628,university,QX1010,7,87,3,0
SC00629,university,QX2080,6,89.3,2,0
SC00630,residential,QX3000,3,85,2,0
SC00631,residential,QX3000,4,100,1,0
SC00632,residential,QX3000,4,83.1,0,1
SC00633,university,QX1010,8,67.8,0,0
SC00634,city center,QX1010,9,,0,1
SC00635,university,QX1010,11,62.9,2,0
SC00636,waterfront,QX1010,0,82.5,0,0
SC00637,university,QX2080,7,76.9,0,0
SC00638,university,QX2080,6,,2,0
SC00639,city center,QX2080,9,,0,0
SC00640,residential,QX3000,5,91.2,1,0
SC00641,waterfront,QX2080,5,80.9,0,0
SC00642,downtown,QX3000,8,81.7,3,0
SC00643,downtown,QX1010,13,70.7,0,1
SC00644,university,QX1010,4,,2,0
SC00645,city center,QX2080,9,64.3,4,0
SC00646,university,QX3000,7,85,0,0
SC00647,downtown,QX1010,9,77.3,0,0
SC00648,city center,QX2080,8,84.7,4,0
SC00649,university,QX2080,6,79.5,0,1
SC00650,university,QX1010,3,83.7,1,1
SC00651,university,QX1010,9,76.5,0,0
SC00652,residential,QX3000,6,95,1,0
SC00653,university,QX2080,8,78.1,0,0
SC00654,residential,QX1010,7,97.1,0,0
SC00655,university,QX3000,8,83.9,0,0
SC00656,university,QX1010,4,,0,0
SC00657,university,QX3000,na,82,0,0
SC00658,downtown,QX1010,8,84.4,2,0
SC00659,downtown,QX2080,7,73.9,2,0
SC00660,university,QX1010,9,80,2,0
SC00661,residential,QX1010,4,82.9,3,0
SC00662,university,QX3000,9,83.6,1,0
SC00663,downtown,QX1010,5,85,0,0
SC00664,university,QX1010,6,84.6,1,1
SC00665,downtown,QX1010,8,80.4,0,0
SC00666,residential,QX2080,5,93.8,0,0
SC00667,residential,QX3000,6,86.8,3,0
SC00668,university,QX3000,8,100,1,0
SC00669,university,QX1010,9,79.2,0,0
SC00670,city center,QX1010,12,84.6,0,0
SC00671,city center,QX1010,9,72.6,0,0
SC00672,residential,QX2080,5,92.4,3,0
SC00673,residential,QX3000,3,79.6,0,0
SC00674,university,QX2080,10,80.4,4,0
SC00675,city center,QX2080,6,77.5,0,0
SC00676,downtown,QX1010,13,79.4,0,0
SC00677,downtown,QX3000,7,80.4,1,0
SC00678,downtown,QX2080,6,73,0,0
SC00679,city center,QX1010,10,75.7,2,0
SC00680,waterfront,QX1010,3,96.7,0,0
SC00681,university,QX1010,3,87.6,2,0
SC00682,downtown,QX1010,10,67,0,0
SC00683,downtown,QX1010,9,88.1,1,0
SC00684,city center,QX2080,9,69.7,3,1
SC00685,residential,QX2080,4,87.6,0,0
SC00686,city center,QX1010,4,87.5,3,0
SC00687,residential,QX1010,7,85.6,0,0
SC00688,residential,QX3000,8,97.4,0,0
SC00689,downtown,QX2080,11,68.7,4,1
SC00690,university,QX2080,6,84.9,1,0
SC00691,waterfront,QX1010,3,94.3,3,0
SC00692,city center,QX3000,1,81.7,1,0
SC00693,downtown,QX1010,7,74.1,0,0
SC00694,waterfront,QX1010,2,82,0,0
SC00695,residential,QX3000,6,86,0,0
SC00696,university,QX2080,7,66.9,0,0
SC00697,university,QX2080,4,86,0,0
SC00698,downtown,QX2080,10,64.5,0,1
SC00699,residential,QX2080,6,90.7,0,0
SC00700,city center,QX1010,6,85.6,0,0
SC00701,downtown,QX1010,7,96.7,0,0
SC00702,university,QX1010,7,86.1,2,0
SC00703,waterfront,QX1010,3,81,0,0
SC00704,residential,QX3000,4,78,2,0
SC00705,downtown,QX1010,9,80.8,2,0
SC00706,downtown,QX2080,11,75.4,0,0
SC00707,waterfront,QX2080,1,93.8,1,0
SC00708,waterfront,QX2080,3,74.2,1,0
SC00709,university,QX1010,4,100,0,0
SC00710,university,QX2080,4,92.1,1,0
SC00711,city center,QX3000,4,83.1,0,0
SC00712,city center,QX2080,3,97.4,0,0
SC00713,downtown,QX3000,3,78.9,3,0
SC00714,downtown,QX3000,3,87.3,4,1
SC00715,downtown,QX2080,na,64.8,4,0
SC00716,residential,QX1010,5,97.7,1,0
SC00717,downtown,QX2080,6,65.7,1,0
SC00718,downtown,QX1010,11,65,0,0
SC00719,university,QX2080,4,75.9,0,0
SC00720,downtown,QX3000,8,92.8,0,1
SC00721,downtown,QX2080,12,83,0,0
SC00722,university,QX1010,12,77.4,3,0
SC00723,city center,QX1010,5,90.7,0,1
SC00724,university,QX3000,na,79.8,0,0
SC00725,waterfront,QX1010,8,83.2,0,0
SC00726,downtwon,QX1010,10,92,0,0
SC00727,waterfront,QX1010,2,82.3,0,0
SC00728,waterfront,QX1010,4,76.3,0,0
SC00729,residential,QX2080,3,86.1,0,0
SC00730,university,QX2080,9,83.6,0,1
SC00731,university,QX1010,6,,0,0
SC00732,university,QX1010,5,90.5,3,0
SC00733,university,QX1010,6,79.5,0,0
SC00734,downtown,QX1010,8,80.7,0,0
SC00735,waterfront,QX1010,2,87.6,0,0
SC00736,university,QX2080,na,81.3,3,0
SC00737,residential,QX1010,2,98.1,0,0
SC00738,city center,QX1010,7,83.5,0,0
SC00739,downtown,QX1010,9,76.2,1,0
SC00740,university,QX1010,6,85.7,3,0
SC00741,university,QX1010,9,87.4,0,0
SC00742,city center,QX1010,5,88.6,0,0
SC00743,city center,QX3000,3,91.7,0,0
SC00744,downtown,QX1010,8,66.9,0,1
SC00745,university,QX2080,6,58.5,0,1
SC00746,city center,QX2080,6,90.5,1,0
SC00747,waterfront,QX1010,5,85.7,0,1
SC00748,downtown,QX1010,4,82.6,0,0
SC00749,city center,QX2080,11,,0,0
SC00750,city center,QX3000,5,100,0,0
SC00751,university,QX1010,8,91.6,0,0
SC00752,city center,QX1010,2,92.6,0,0
SC00753,university,QX1010,8,,0,0
SC00754,waterfront,QX2080,4,74.9,0,0
SC00755,city center,QX2080,8,57.8,0,1
SC00756,university,QX1010,9,84.2,2,0
SC00757,downtown,QX1010,5,,0,0
SC00758,downtown,QX3000,12,88.5,0,1
SC00759,city center,QX1010,10,83.7,1,0
SC00760,downtown,QX2080,8,76.8,1,0
SC00761,university,QX2080,5,75.7,0,0
SC00762,university,QX1010,7,73.4,0,0
SC00763,residential,QX1010,4,81.4,0,0
SC00764,university,QX1010,11,68.9,0,0
SC00765,university,QX3000,10,94.9,-5,1
SC00766,city center,QX1010,9,67.7,0,0
SC00767,downtown,QX1010,7,78.7,0,0
SC00768,downtown,QX1010,6,64.7,0,0
SC00769,university,QX1010,5,84.5,0,0
SC00770,waterfront,QX2080,5,80.5,0,0
SC00771,downtown,QX1010,9,75.8,0,0
SC00772,university,QX2080,4,73.4,0,1
SC00773,residential,QX2080,6,79.7,1,0
SC00774,residential,QX3000,6,78.6,2,0
SC00775,university,QX1010,8,78.4,2,0
SC00776,university,QX3000,7,99,2,0
SC00777,university,QX2080,na,80.4,2,1
SC00778,residential,QX1010,2,88.9,1,0
SC00779,downtown,QX2080,na,73.4,0,0
SC00780,waterfront,QX3000,5,77.3,0,0
SC00781,downtown,QX1010,11,77,0,0
SC00782,residential,QX3000,4,100,1,0
SC00783,downtown,QX2080,11,73.3,1,0
SC00784,downtown,QX2080,10,79.6,0,0
SC00785,downtown,QX3000,7,75.4,3,0
SC00786,city center,QX1010,9,55.4,-4,0
SC00787,city center,QX3000,5,77.3,1,0
SC00788,downtown,QX1010,7,100,0,0
SC00789,city center,QX2080,5,85.6,0,0
SC00790,city center,QX2080,8,92,0,0
SC00791,residential,QX1010,4,79.8,0,0
SC00792,residential,QX1010,4,62.8,0,0
SC00793,university,QX1010,3,74.2,0,0
SC00794,downtown,QX1010,8,,0,0
SC00795,city center,QX1010,2,86.4,0,0
SC00796,waterfront,QX1010,5,81.9,0,0
SC00797,downtown,QX1010,10,73.5,0,0
SC00798,city center,QX1010,10,86,3,0
SC00799,waterfront,QX2080,5,76.2,0,0
SC00800,waterfront,QX2080,2,85.5,2,0
SC00801,city center,QX2080,8,79.8,0,1
SC00802,university,QX1010,13,72.5,0,0
SC00803,city center,QX3000,na,74.9,2,0
SC00804,residential,QX2080,8,74.5,1,0
SC00805,downtown,QX1010,5,97.9,3,0
SC00806,downtown,QX1010,11,86.7,1,0
SC00807,university,QX2080,9,86,0,1
SC00808,downtown,QX1010,8,72.9,2,1
SC00809,university,QX2080,5,68.3,0,0
SC00810,city center,QX3000,7,91.7,2,0
SC00811,residential,QX1010,1,92.9,1,0
SC00812,residential,QX1010,9,80,2,0
SC00813,city center,QX3000,10,76.9,3,0
SC00814,residential,QX2080,2,70.5,2,0
SC00815,downtown,QX1010,10,85.4,0,0
SC00816,city center,QX3000,5,94.1,0,0
SC00817,downtown,QX3000,7,76.6,2,0
SC00818,residential,QX2080,4,74.8,1,0
SC00819,residential,QX2080,8,88.6,0,0
SC00820,waterfront,QX1010,2,78.9,4,0
SC00821,residential,QX1010,8,94.7,0,0
SC00822,waterfront,QX2080,2,82,2,0
SC00823,downtown,QX1010,3,80.3,5,0
SC00824,waterfront,QX2080,5,80.9,0,0
SC00825,university,QX3000,6,79.9,0,0
SC00826,city center,QX1010,5,91.6,2,0
SC00827,university,QX2080,4,88.8,0,1
SC00828,city center,QX1010,7,89.6,1,0
SC00829,city center,QX3000,7,84,0,0
SC00830,downtown,QX1010,8,75.7,0,0
SC00831,downtown,QX2080,10,76.4,0,1
SC00832,city center,QX2080,1,80.1,1,0
SC00833,residential,QX1010,8,92.1,0,0
SC00834,university,QX2080,8,86.6,2,1
SC00835,university,QX2080,7,78.1,1,0
SC00836,city center,QX2080,8,70.2,0,1
SC00837,city center,QX2080,na,92,0,0
SC00838,downtown,QX3000,14,78,0,0
SC00839,residential,QX1010,5,80.9,3,0
SC00840,downtown,QX2080,3,95.3,0,0
SC00841,residential,QX1010,3,79.3,2,0
SC00842,residential,QX2080,3,79.4,3,0
SC00843,university,QX2080,6,77.7,3,0
SC00844,residential,QX1010,3,72.4,0,0
SC00845,city center,QX1010,9,81.5,2,0
SC00846,residential,QX3000,3,79.1,1,0
SC00847,residential,QX1010,0,81.1,2,0
SC00848,residential,QX2080,7,72.9,0,0
SC00849,university,QX1010,6,76.2,0,0
SC00850,residential,QX3000,2,79.3,0,1
SC00851,waterfront,QX1010,na,84.9,1,0
SC00852,city center,QX1010,10,76.7,1,0
SC00853,residential,QX3000,4,,4,0
SC00854,residential,QX3000,2,100,0,0
SC00855,city center,QX1010,7,79.1,1,0
SC00856,waterfront,QX2080,5,85.6,0,0
SC00857,city center,QX2080,7,85,2,0
SC00858,university,QX3000,7,81.9,0,0
SC00859,downtown,QX1010,2,86.7,4,0
SC00860,downtown,QX2080,3,82.3,2,0
SC00861,residential,QX2080,3,83.8,0,0
SC00862,city center,QX2080,7,73.9,0,0
SC00863,city center,QX2080,5,76.3,0,0
SC00864,downtown,QX2080,7,79,0,0
SC00865,city center,QX1010,6,64.4,0,0
SC00866,residential,QX3000,3,98.3,-4,0
SC00867,residential,QX3000,5,100,0,0
SC00868,downtown,QX2080,7,80.3,0,0
SC00869,university,QX1010,5,,2,0
SC00870,city center,QX1010,6,90.4,0,0
SC00871,university,QX2080,3,70.8,0,0
SC00872,city center,QX1010,6,89.1,1,0
SC00873,city center,QX3000,6,79.6,0,0
SC00874,city center,QX1010,7,99.9,4,0
SC00875,university,QX2080,7,77.3,1,0
SC00876,university,QX3000,11,86.9,1,0
SC00877,city center,QX1010,6,,0,0
SC00878,residential,QX1010,4,100,0,0
SC00879,residential,QX2080,3,,3,0
SC00880,city center,QX2080,5,90.4,2,0
SC00881,residential,QX1010,5,87.3,0,0
SC00882,residential,QX2080,7,82.3,1,0
SC00883,downtown,QX3000,5,85.9,2,1
SC00884,university,QX2080,9,71.6,3,0
SC00885,city center,QX1010,na,61.6,0,0
SC00886,residential,QX1010,0,95.1,0,0
SC00887,downtown,QX1010,8,75.4,0,1
SC00888,university,QX1010,4,92.7,0,0
SC00889,downtown,QX1010,8,82.6,1,0
SC00890,university,QX2080,5,90.7,0,0
SC00891,waterfront,QX1010,2,91.2,0,0
SC00892,city center,QX3000,na,63.1,0,0
SC00893,residential,QX1010,4,88,2,0
SC00894,waterfront,QX1010,3,80.7,2,0
SC00895,residential,QX2080,3,92,2,0
SC00896,downtown,QX3000,8,86.6,2,0
SC00897,residential,QX1010,7,85.5,3,0
SC00898,downtown,QX1010,10,75.7,0,0
SC00899,city center,QX1010,5,74.2,0,0
SC00900,residential,QX2080,2,79.2,1,0
SC00901,university,QX2080,3,66.8,2,1
SC00902,university,QX1010,10,73,0,0
SC00903,city center,QX1010,7,68,1,0
SC00904,residential,QX2080,4,69.1,0,0
SC00905,residential,QX3000,6,84.2,1,0
SC00906,city center,QX2080,7,83.4,0,0
SC00907,residential,QX2080,8,77.8,0,0
SC00908,downtown,QX1010,8,75.4,3,0
SC00909,downtown,QX1010,7,72.3,1,0
SC00910,university,QX1010,3,80.9,2,0
SC00911,waterfront,QX2080,2,75.9,0,0
SC00912,downtwon,QX3000,9,80.3,0,0
SC00913,downtown,QX3000,3,72.7,0,0
SC00914,downtown,QX3000,3,91.6,0,0
SC00915,residential,QX3000,4,80,0,0
SC00916,downtown,QX3000,8,84.8,0,0
SC00917,university,QX1010,9,86.3,0,0
SC00918,waterfront,QX1010,2,87.2,0,0
SC00919,downtown,QX1010,8,86.4,0,0
SC00920,university,QX2080,3,64.5,0,1
SC00921,university,QX1010,5,77.8,0,0
SC00922,residential,QX3000,0,97.4,1,0
SC00923,city center,QX2080,10,80.8,4,0
SC00924,city center,QX2080,4,97,4,0
SC00925,downtown,QX1010,4,97.3,0,0
SC00926,residential,QX1010,1,87.7,-3,0
SC00927,residential,QX1010,6,79.1,0,0
SC00928,downtown,QX3000,7,74.3,0,1
SC00929,city center,QX2080,6,75.7,1,0
SC00930,residential,QX2080,1,80.2,0,0
SC00931,downtown,QX1010,6,76.2,2,0
SC00932,city center,QX1010,13,67.8,2,1
SC00933,university,QX1010,6,84.6,0,0
SC00934,city center,QX2080,7,93.3,0,0
SC00935,downtown,QX2080,9,85.2,2,0
SC00936,city center,QX1010,6,78.5,0,0
SC00937,downtown,QX3000,12,87,0,1
SC00938,university,QX1010,4,85.7,0,0
SC00939,residential,QX3000,9,80.5,2,0
SC00940,university,QX1010,2,83.5,0,0
SC00941,downtwon,QX1010,7,78.7,2,0
SC00942,residential,QX3000,8,87.1,2,0
SC00943,downtown,QX1010,13,76.8,0,1
SC00944,residential,QX1010,7,74.2,0,0
SC00945,city center,QX1010,6,74.6,3,0
SC00946,residential,QX1010,4,85.4,0,0
SC00947,downtown,QX2080,5,84.1,0,0
SC00948,downtown,QX3000,11,76.5,0,0
SC00949,city center,QX3000,6,73.6,3,0
SC00950,downtown,QX1010,9,89.4,3,0
SC00951,downtown,QX2080,6,88.5,0,0
SC00952,residential,QX1010,3,66.7,0,0
SC00953,residential,QX1010,3,95,0,0
SC00954,downtown,QX1010,5,80.2,1,1
SC00955,residential,QX3000,7,84,-5,0
SC00956,residential,QX3000,4,94.5,2,0
SC00957,residential,QX2080,2,96.9,1,0
SC00958,university,QX2080,8,86.6,0,0
SC00959,university,QX2080,6,81.7,2,0
SC00960,university,QX2080,7,67.2,2,1
SC00961,university,QX2080,6,62.5,2,0
SC00962,waterfront,QX1010,2,91.9,0,0
SC00963,downtown,QX1010,7,91.8,1,0
SC00964,city center,QX1010,10,71.1,0,0
SC00965,downtown,QX3000,6,80.9,3,0
SC00966,waterfront,QX2080,4,76.6,0,0
SC00967,city center,QX3000,8,76.6,0,0
SC00968,university,QX1010,8,88.7,2,0
SC00969,residential,QX2080,4,83.2,0,0
SC00970,waterfront,QX1010,5,80.1,0,0
SC00971,downtown,QX1010,10,100,3,0
SC00972,residential,QX1010,6,69,0,0
SC00973,residential,QX1010,5,86.7,2,1
SC00974,downtown,QX3000,12,69.5,1,0
SC00975,residential,QX1010,8,78.3,0,0
SC00976,city center,QX2080,7,80.2,0,0
SC00977,university,QX2080,8,,2,0
SC00978,university,QX1010,8,77.4,3,0
SC00979,downtown,QX2080,12,71.8,0,1
SC00980,downtown,QX1010,11,74.8,3,1
SC00981,downtown,QX3000,13,68.4,0,0
SC00982,downtown,QX3000,10,85.4,0,0
SC00983,university,QX2080,4,83.7,2,0
SC00984,city center,QX2080,8,81.8,0,0
SC00985,downtown,QX1010,14,74.2,0,0
SC00986,university,QX3000,8,80,0,0
SC00987,university,QX1010,10,88,4,0
SC00988,university,QX1010,5,90.7,0,0
SC00989,waterfront,QX1010,1,97.2,0,0
SC00990,city center,QX2080,8,81.3,0,0
SC00991,residential,QX2080,3,93.6,0,0
SC00992,downtown,QX2080,8,74.6,1,0
SC00993,residential,QX2080,6,78,0,0
SC00994,waterfront,QX1010,2,94.6,0,0
SC00995,residential,QX3000,8,88.8,4,0
SC00996,university,QX1010,7,77.9,0,0
SC00997,university,QX2080,8,69.2,0,0
SC00998,city center,QX1010,8,77.9,1,1
SC00999,university,QX3000,8,75.8,1,0
SC01000,residential,QX1010,5,96.7,0,0
SC01001,waterfront,QX1010,3,90.1,1,0
SC01002,city center,QX2080,na,73.2,2,0
SC01003,downtown,QX1010,7,71.5,4,0
SC01004,university,QX1010,8,73,0,1
SC01005,downtown,QX2080,6,,1,0
SC01006,downtown,QX1010,10,76.6,0,0
SC01007,city center,QX3000,10,89.5,2,0
SC01008,residential,QX1010,4,74.6,1,1
SC01009,downtown,QX2080,5,100,1,0
SC01010,downtwon,QX2080,9,69.3,2,1
SC01011,downtown,QX2080,9,65.3,0,0
SC01012,residential,QX2080,6,94.1,0,0
SC01013,university,QX2080,5,91.7,0,0
SC01014,downtown,QX3000,7,80.9,0,1
SC01015,downtown,QX1010,6,84.4,2,0
SC01016,university,QX1010,9,82.3,3,0
SC01017,city center,QX2080,8,79.3,0,0
SC01018,university,QX3000,14,65.8,0,0
SC01019,city center,QX1010,11,56.1,1,0
SC01020,waterfront,QX1010,7,73.2,0,0
SC01021,city center,QX3000,7,97.8,0,0
SC01022,university,QX2080,4,97.1,0,0
SC01023,downtown,QX3000,14,74.6,0,0
SC01024,waterfront,QX2080,5,72.4,3,0
SC01025,waterfront,QX2080,5,82.9,0,0
SC01026,residential,QX1010,5,85.7,0,0
SC01027,city center,QX3000,6,88.3,0,0
SC01028,downtown,QX1010,16,51.7,0,0
SC01029,residential,QX2080,6,100,0,0
SC01030,residential,QX1010,5,91.6,0,0
SC01031,downtown,QX2080,6,78,2,1
SC01032,city center,QX2080,7,72.8,1,0
SC01033,city center,QX2080,6,88.1,0,0
SC01034,residential,QX3000,7,86.6,0,0
SC01035,university,QX1010,7,81.2,3,0
SC01036,university,QX2080,6,83.6,0,0
SC01037,university,QX1010,9,77.8,0,0
SC01038,downtown,QX1010,7,83.8,0,0
SC01039,city center,QX1010,7,86.6,0,0
SC01040,downtown,QX1010,10,80.9,2,1
SC01041,residential,QX1010,4,85.3,0,0
SC01042,city center,QX2080,3,93.9,3,0
SC01043,city center,QX2080,4,67.7,2,0
SC01044,downtown,QX2080,6,72.9,1,0
SC01045,downtown,QX1010,6,81.4,4,0
SC01046,university,QX1010,13,69.4,3,0
SC01047,downtown,QX1010,4,79.4,0,0
SC01048,downtown,QX2080,9,88.2,3,0
SC01049,residential,QX3000,1,85.9,0,0
SC01050,city center,QX1010,3,68.1,1,0
SC01051,city center,QX2080,4,77.7,2,0
SC01052,city center,QX1010,6,81.7,0,0
SC01053,residential,QX1010,3,83.9,0,0
SC01054,city center,QX1010,6,,0,0
SC01055,residential,QX1010,5,86,0,0
SC01056,waterfront,QX2080,2,81.7,0,0
SC01057,university,QX3000,8,71.5,0,0
SC01058,city center,QX1010,8,75.9,0,0
SC01059,residential,QX2080,3,76.8,0,0
SC01060,city center,QX2080,7,76.5,0,1
SC01061,city center,QX3000,4,90.7,0,0
SC01062,university,QX2080,5,83.9,0,0
SC01063,city center,QX1010,4,89.8,0,0
SC01064,downtown,QX2080,8,74.8,0,0
SC01065,city center,QX1010,9,91.6,2,0
SC01066,downtown,QX3000,9,86.5,0,0
SC01067,city center,QX1010,5,83,0,0
SC01068,university,QX2080,3,87.2,0,0
SC01069,waterfront,QX1010,2,78.7,4,0
SC01070,downtown,QX1010,8,61.7,0,0
SC01071,university,QX3000,4,79.6,0,0
SC01072,city center,QX2080,5,86.9,0,0
SC01073,downtown,QX1010,8,80.3,0,0
SC01074,downtown,QX3000,4,83.6,0,0
SC01075,downtown,QX3000,10,72.8,1,1
SC01076,downtown,QX1010,7,63.8,1,1
SC01077,downtown,QX2080,7,91,0,0
SC01078,city center,QX2080,5,78.7,0,0
SC01079,university,QX2080,9,73.6,0,0
SC01080,downtown,QX1010,10,72.3,2,0
SC01081,downtown,QX1010,11,87.9,3,0
SC01082,downtown,QX3000,6,90.7,0,0
SC01083,university,QX3000,6,75,0,0
SC01084,city center,QX3000,6,93.1,0,0
SC01085,university,QX3000,2,85.2,2,0
SC01086,downtown,QX2080,9,72.1,0,0
SC01087,downtown,QX2080,3,79.6,0,0
SC01088,waterfront,QX2080,3,75.4,0,0
SC01089,downtwon,QX2080,8,66.9,0,1
SC01090,downtown,QX2080,2,89.5,1,0
SC01091,downtown,QX1010,12,74.5,0,0
SC01092,waterfront,QX2080,2,88.1,0,0
SC01093,university,QX1010,4,,3,0
SC01094,university,QX1010,10,82.7,2,0
SC01095,waterfront,QX2080,4,,1,1
SC01096,downtown,QX1010,7,73,1,0
SC01097,waterfront,QX1010,1,90,0,0
SC01098,downtwon,QX3000,6,72.4,0,0
SC01099,university,QX3000,4,88,0,0
SC01100,city center,QX1010,6,69.4,3,0
SC01101,city center,QX1010,8,79.7,1,1
SC01102,waterfront,QX1010,3,97.3,0,0
SC01103,downtown,QX2080,9,83.9,2,0
SC01104,waterfront,QX3000,4,69.1,2,0
SC01105,city center,QX1010,7,87.6,3,0
SC01106,university,QX2080,10,92,0,0
SC01107,waterfront,QX1010,2,100,0,0
SC01108,downtown,QX1010,9,82.8,3,0
SC01109,waterfront,QX3000,2,74.8,3,0
SC01110,university,QX1010,4,86.5,2,0
SC01111,residential,QX1010,2,98,1,0
SC01112,downtown,QX1010,6,79.6,0,0
SC01113,university,QX2080,10,,2,1
SC01114,university,QX3000,10,72.9,0,0
SC01115,city center,QX3000,8,84.8,0,0
SC01116,downtown,QX1010,10,56.8,0,0
SC01117,downtown,QX1010,12,68.3,0,1
SC01118,residential,QX2080,na,80.4,0,0
SC01119,downtown,QX1010,11,74.1,2,0
SC01120,residential,QX3000,7,,4,0
SC01121,waterfront,QX2080,3,77.9,0,0
SC01122,downtown,QX1010,6,84,0,0
SC01123,downtown,QX3000,8,80.9,0,0
SC01124,university,QX1010,4,83.3,0,0
SC01125,downtown,QX1010,12,82.6,0,0
SC01126,university,QX2080,8,75.2,0,1
SC01127,university,QX2080,10,88.1,4,0
SC01128,university,QX2080,6,71.3,0,0
SC01129,city center,QX2080,na,98.5,1,0
SC01130,university,QX3000,5,93.5,1,0
SC01131,university,QX3000,1,84.2,0,0
SC01132,downtown,QX2080,7,76.4,0,0
SC01133,university,QX1010,9,80.6,-3,0
SC01134,residential,QX2080,3,87.2,0,0
SC01135,university,QX3000,14,86.1,2,0
SC01136,city center,QX1010,6,69.8,0,0
SC01137,city center,QX2080,7,82.6,0,0
SC01138,downtown,QX1010,9,60.8,0,1
SC01139,downtown,QX1010,9,77.3,0,0
SC01140,downtown,QX2080,6,92.1,2,0
SC01141,waterfront,QX1010,7,68.4,0,1
SC01142,downtown,QX2080,5,66.9,3,0
SC01143,residential,QX3000,2,88.3,0,0
SC01144,downtown,QX3000,4,96.6,0,0
SC01145,city center,QX1010,10,80.8,0,0
SC01146,city center,QX1010,4,66.6,1,1
SC01147,city center,QX2080,5,66.2,0,1
SC01148,residential,QX3000,4,,4,0
SC01149,waterfront,QX2080,7,68.9,0,0
SC01150,residential,QX3000,10,81.2,0,0
SC01151,downtown,QX1010,15,,0,0
SC01152,residential,QX3000,3,81.4,2,0
SC01153,downtown,QX1010,7,95.8,0,0
SC01154,waterfront,QX1010,5,87,0,0
SC01155,university,QX2080,5,90.8,4,0
SC01156,city center,QX1010,6,89,0,0
SC01157,downtown,QX1010,5,80.7,0,0
SC01158,downtown,QX1010,7,78.7,0,0
SC01159,downtown,QX1010,8,77.1,0,0
SC01160,waterfront,QX2080,1,89.5,0,0
SC01161,residential,QX1010,5,76.5,0,1
SC01162,waterfront,QX2080,2,97.6,0,0
SC01163,downtown,QX3000,7,76.1,0,0
SC01164,university,QX1010,6,83,2,1
SC01165,downtown,QX1010,na,78.5,1,0
SC01166,university,QX3000,8,77.8,2,0
SC01167,city center,QX3000,5,100,0,0
SC01168,city center,QX2080,7,75.2,2,0
SC01169,university,QX3000,na,79,0,0
SC01170,downtown,QX1010,10,72.4,3,0
SC01171,city center,QX1010,6,81.5,0,0
SC01172,university,QX2080,9,,0,0
SC01173,downtown,QX1010,8,70.1,1,0
SC01174,waterfront,QX2080,3,78.5,0,0
SC01175,university,QX2080,7,84.1,2,0
SC01176,residential,QX2080,5,89.2,2,0
SC01177,university,QX2080,6,79.9,0,0
SC01178,residential,QX1010,7,80.9,0,1
SC01179,residential,QX1010,5,78.9,0,0
SC01180,residential,QX1010,7,76.1,3,0
SC01181,university,QX2080,5,72.7,4,1
SC01182,downtown,QX1010,9,65.6,0,0
SC01183,downtown,QX1010,5,76,2,1
SC01184,university,QX1010,11,84.9,0,0
SC01185,downtown,QX1010,7,76.8,0,0
SC01186,downtown,QX3000,4,81.9,0,0
SC01187,downtown,QX1010,4,79.7,0,0
SC01188,university,QX3000,11,89.8,0,0
SC01189,downtown,QX1010,6,73.3,0,0
SC01190,university,QX2080,9,79.7,3,0
SC01191,residential,QX1010,1,84.6,2,0
SC01192,residential,QX1010,5,82.6,1,1
SC01193,city center,QX3000,13,79.7,0,1
SC01194,university,QX3000,5,84.5,0,0
SC01195,university,QX3000,3,92.3,3,0
SC01196,city center,QX1010,7,80.2,0,0
SC01197,university,QX1010,3,98.4,0,0
SC01198,downtown,QX2080,10,76.9,0,1
SC01199,waterfront,QX1010,4,68.3,0,0
SC01200,downtown,QX2080,11,81.1,3,1
SC01201,residential,QX2080,2,86.2,0,0
SC01202,university,QX2080,11,76,0,1
SC01203,downtown,QX3000,10,77.8,4,1
SC01204,residential,QX2080,3,64.1,0,0
SC01205,downtown,QX1010,7,63.9,0,1
SC01206,residential,QX1010,4,96.8,0,0
SC01207,university,QX2080,6,74.7,1,0
SC01208,downtown,QX2080,12,83.1,3,0
SC01209,downtown,QX1010,10,64.4,0,0
SC01210,residential,QX1010,1,76.3,1,0
SC01211,city center,QX2080,5,86.3,2,0
SC01212,residential,QX3000,6,82.3,0,0
